from,to,P_from_MW,Q_from_Mvar,P_to_MW,Q_to_Mvar,loss_MW
1,4,71.64101221284625,27.045892288941758,-71.64101221284625,-23.923097360818918,0.0
2,7,163.0000027766728,6.653620705352522,-163.00000277667277,9.178188678160883,2.220446049250313e-14
3,9,85.00000103379003,-10.859733267892619,-85.00000103379001,14.955351888887675,1.1102230246251565e-14
4,5,40.93734073179578,22.893101268668936,-40.6798267115976,-38.68723216994212,0.2575140201981796
4,6,30.70366303011237,1.030001698661228,-30.53725622755753,-16.543361664465337,0.16640680255484153
5,7,-84.32018224488176,-11.312740088980297,86.62015450564728,-8.380825521388285,2.299972260765526
6,9,-59.462751551454154,-13.456625980330452,60.81660103144257,-18.074843071533532,1.3538494799884226
7,8,76.37988248423372,-0.7973303655806792,-75.90459867942745,-10.704177647399423,0.4752838048062702
8,9,-24.09541976945522,-24.295814302318814,24.183416316500015,3.119499173811293,0.08799654704479687
TOTAL,,,,,,4.641022915358071
